0001001EM1200903.csv,1,BT3800(ZZZZ)00.00.00,,âÒòH1R,âÒòH1T,âÒòH2R,âÒòH2T,âÒòH3R,âÒòH3T,âÒòH4R,âÒòH4T,âÒòH5R,âÒòH5T,âÒòH6R,âÒòH6T,âÒòH7R,âÒòH7T,âÒòH8R,âÒòH8T,âÒòH9R,âÒòH9T,âÒòH10R,âÒòH10T,âÒòH11R,âÒòH11T,âÒòH12R,âÒòH12T,âÒòH13R,âÒòH13T,âÒòH14R,âÒòH14T,âÒòH15R,âÒòH15T,âÒòH16R,âÒòH16T
ã@äÌñºèÃ,í[ñññºèÃ,,,AAAAAAAAAAAAAAAAAAAA,BâÒòH,CâÒòH,DâÒòH,EâÒòH,FâÒòH,GâÒòH,HâÒòH,IâÒòH,JâÒòH,KâÒòH,LâÒòH,MâÒòH,NâÒòH,OâÒòH,PâÒòH,QâÒòH,RâÒòH,SâÒòH,TâÒòH,UâÒòH,VâÒòH,WâÒòH,XâÒòH,YâÒòH,ZâÒòH,çbâÒòH,â≥âÒòH,ï∏âÒòH,íöâÒòH,ÉøâÒòH,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†
îN,åé,ì˙,éû,kWh,ÉpÉãÉX,kg,Wh,m3,cal,kcal,L,kL,J,â~,kWh,ÉpÉãÉX,kg,Wh,m3,cal,kcal,L,kL,J,â~,kWh,ÉpÉãÉX,kg,Wh,m3,cal,kcal,L,kL,J
2013,8,1,1,0.23,0.24,0.01,0.65,0.26,0.47,0.48,0.91,0.47,0.46,0.41,0.48,0.53,0.65,0.56,0.54,0.23,0.24,0.01,0.65,0.26,0.47,0.48,0.91,0.47,0.46,0.41,0.48,0.53,0.65,0.56,0.54
2013,8,1,2,0.25,0.26,0.01,0.56,0.27,0.57,0.59,0.82,0.64,0.36,0.35,0.74,0.71,0.59,0.65,0.71,0.25,0.26,0.01,0.56,0.27,0.57,0.59,0.82,0.64,0.36,0.35,0.74,0.71,0.59,0.65,0.71
2013,8,1,3,0.28,0.31,0.03,0.78,0.29,0.82,0.62,0.69,0.77,0.41,0.56,0.77,0.68,0.67,0.63,0.82,0.28,0.31,0.03,0.78,0.29,0.82,0.62,0.69,0.77,0.41,0.56,0.77,0.68,0.67,0.63,0.82
2013,8,1,4,0.45,0.47,0.02,1.22,0.48,1.11,1.37,0.92,0.99,0.68,0.54,1.24,1.29,1.16,1.22,1.28,0.45,0.47,0.02,1.22,0.48,1.11,1.37,0.92,0.99,0.68,0.54,1.24,1.29,1.16,1.22,1.28
2013,8,1,5,0.3,0.32,0.02,0.86,0.31,0.76,0.88,0.81,0.68,0.59,0.59,0.64,0.69,0.62,0.61,0.9,0.3,0.32,0.02,0.86,0.31,0.76,0.88,0.81,0.68,0.59,0.59,0.64,0.69,0.62,0.61,0.9
2013,8,1,6,0.56,0.61,0.05,1.8,0.59,1.29,1.33,1.51,1.45,1.04,0.98,1.22,1.38,1.63,1.51,1.47,0.56,0.61,0.05,1.8,0.59,1.29,1.33,1.51,1.45,1.04,0.98,1.22,1.38,1.63,1.51,1.47
2013,8,1,7,0.22,0.23,0.02,0.57,0.24,0.58,0.65,0.59,0.6,0.32,0.33,0.47,0.56,0.45,0.55,0.6,0.22,0.23,0.02,0.57,0.24,0.58,0.65,0.59,0.6,0.32,0.33,0.47,0.56,0.45,0.55,0.6
2013,8,1,8,0.35,0.37,0.02,0.74,0.36,0.96,0.84,1.6,0.81,0.54,0.59,1.05,0.89,0.96,0.75,0.91,0.35,0.37,0.02,0.74,0.36,0.96,0.84,1.6,0.81,0.54,0.59,1.05,0.89,0.96,0.75,0.91
2013,8,1,9,0.3,0.33,0.03,0.87,0.33,0.87,0.84,1.06,0.87,0.63,0.41,0.83,0.73,0.77,0.73,0.74,0.3,0.33,0.03,0.87,0.33,0.87,0.84,1.06,0.87,0.63,0.41,0.83,0.73,0.77,0.73,0.74
2013,8,1,10,0.26,0.28,0.02,0.57,0.27,0.63,0.69,0.83,0.76,0.34,0.34,0.72,0.69,0.71,0.62,0.74,0.26,0.28,0.02,0.57,0.27,0.63,0.69,0.83,0.76,0.34,0.34,0.72,0.69,0.71,0.62,0.74
2013,8,1,11,0.31,0.33,0.02,0.74,0.34,0.92,0.82,1.38,0.85,0.65,0.51,0.81,0.79,0.83,0.74,0.83,0.31,0.33,0.02,0.74,0.34,0.92,0.82,1.38,0.85,0.65,0.51,0.81,0.79,0.83,0.74,0.83
2013,8,1,12,0.17,0.175,0.005,0.435,0.19,0.355,0.5,0.54,0.475,0.285,0.335,0.405,0.51,0.365,0.44,0.38,0.17,0.175,0.005,0.435,0.19,0.355,0.5,0.54,0.475,0.285,0.335,0.405,0.51,0.365,0.44,0.38
2013,8,1,13,0.55,0.56,0.01,1.21,0.56,1.58,1.27,2.4,1.36,0.97,0.9,1.26,1.58,1.5,1.36,1.23,0.55,0.56,0.01,1.21,0.56,1.58,1.27,2.4,1.36,0.97,0.9,1.26,1.58,1.5,1.36,1.23
2013,8,1,14,0.31,0.33,0.02,0.77,0.32,0.85,0.83,1.25,0.7,0.53,0.35,0.93,0.84,0.91,0.85,0.74,0.31,0.33,0.02,0.77,0.32,0.85,0.83,1.25,0.7,0.53,0.35,0.93,0.84,0.91,0.85,0.74
2013,8,1,15,0.29,0.32,0.03,0.92,0.32,0.72,0.85,1.07,0.87,0.43,0.5,0.85,0.67,0.8,0.69,0.59,0.29,0.32,0.03,0.92,0.32,0.72,0.85,1.07,0.87,0.43,0.5,0.85,0.67,0.8,0.69,0.59
2013,8,1,16,0.31,0.33,0.02,0.88,0.32,0.69,0.86,1.37,0.86,0.4,0.6,0.65,0.71,0.76,0.91,0.79,0.31,0.33,0.02,0.88,0.32,0.69,0.86,1.37,0.86,0.4,0.6,0.65,0.71,0.76,0.91,0.79
2013,8,1,17,0.27,0.29,0.02,0.64,0.3,0.74,0.57,1,0.81,0.47,0.38,0.71,0.68,0.57,0.7,0.7,0.27,0.29,0.02,0.64,0.3,0.74,0.57,1,0.81,0.47,0.38,0.71,0.68,0.57,0.7,0.7
2013,8,1,18,0.33,0.36,0.03,1.05,0.34,0.76,1.01,1.26,0.9,0.39,0.54,0.97,0.79,0.96,0.96,0.86,0.33,0.36,0.03,1.05,0.34,0.76,1.01,1.26,0.9,0.39,0.54,0.97,0.79,0.96,0.96,0.86
2013,8,1,19,0.67,0.71,0.05,1.66,0.73,1.49,1.63,2.22,1.69,0.97,0.94,1.56,1.82,1.37,1.55,1.38,0.67,0.71,0.05,1.66,0.73,1.49,1.63,2.22,1.69,0.97,0.94,1.56,1.82,1.37,1.55,1.38
2013,8,1,20,0.43,0.46,0.03,1.12,0.46,1.23,1.05,1.9,1.12,0.56,0.56,0.95,1.06,0.89,1.19,0.89,0.43,0.46,0.03,1.12,0.46,1.23,1.05,1.9,1.12,0.56,0.56,0.95,1.06,0.89,1.19,0.89
2013,8,1,21,0.22,0.24,0.03,0.63,0.23,0.47,0.52,1.01,0.64,0.32,0.29,0.46,0.62,0.5,0.55,0.52,0.22,0.24,0.03,0.63,0.23,0.47,0.52,1.01,0.64,0.32,0.29,0.46,0.62,0.5,0.55,0.52
2013,8,1,22,0.26,0.27,0.01,0.8,0.28,0.65,0.62,1.08,0.69,0.41,0.32,0.54,0.59,0.59,0.71,0.66,0.26,0.27,0.01,0.8,0.28,0.65,0.62,1.08,0.69,0.41,0.32,0.54,0.59,0.59,0.71,0.66
2013,8,1,23,0.27,0.3,0.03,0.78,0.3,0.57,0.79,1.24,0.8,0.39,0.31,0.76,0.64,0.61,0.67,0.77,0.27,0.3,0.03,0.78,0.3,0.57,0.79,1.24,0.8,0.39,0.31,0.76,0.64,0.61,0.67,0.77
2013,8,1,24,0.18,0.19,0.01,0.5,0.2,0.52,0.53,0.76,0.39,0.36,0.21,0.54,0.53,0.41,0.38,0.39,0.18,0.19,0.01,0.5,0.2,0.52,0.53,0.76,0.39,0.36,0.21,0.54,0.53,0.41,0.38,0.39
2013,8,2,1,0.27,0.3,0.03,0.67,0.3,0.63,0.76,1.03,0.65,0.47,0.35,0.69,0.58,0.69,0.57,0.77,0.27,0.3,0.03,0.67,0.3,0.63,0.76,1.03,0.65,0.47,0.35,0.69,0.58,0.69,0.57,0.77
2013,8,2,2,0.58,0.59,0.01,1.54,0.62,1.59,1.73,1.92,1.68,0.86,1.02,1.74,1.67,1.45,1.47,1.56,0.58,0.59,0.01,1.54,0.62,1.59,1.73,1.92,1.68,0.86,1.02,1.74,1.67,1.45,1.47,1.56
2013,8,2,3,0.26,0.28,0.02,0.64,0.29,0.54,0.56,0.67,0.65,0.32,0.43,0.58,0.75,0.77,0.7,0.55,0.26,0.28,0.02,0.64,0.29,0.54,0.56,0.67,0.65,0.32,0.43,0.58,0.75,0.77,0.7,0.55
2013,8,2,4,0.19,0.2,0.01,0.46,0.21,0.42,0.48,0.49,0.46,0.23,0.33,0.43,0.39,0.51,0.46,0.45,0.19,0.2,0.01,0.46,0.21,0.42,0.48,0.49,0.46,0.23,0.33,0.43,0.39,0.51,0.46,0.45
