0001001EM1_201408.csv,1,BT3801(002L)01.00.00,,‰ñ˜H1R,‰ñ˜H1T,‰ñ˜H2R,‰ñ˜H2T,‰ñ˜H3R,‰ñ˜H3T,‰ñ˜H4R,‰ñ˜H4T,‰ñ˜H5R,‰ñ˜H5T,‰ñ˜H6R,‰ñ˜H6T,‰ñ˜H7R,‰ñ˜H7T,‰ñ˜H8R,‰ñ˜H8T,‰ñ˜H9R,‰ñ˜H9T,‰ñ˜H10R,‰ñ˜H10T,‰ñ˜H11R,‰ñ˜H11T,‰ñ˜H12R,‰ñ˜H12T,‰ñ˜H13R,‰ñ˜H13T,‰ñ˜H14R,‰ñ˜H14T,‰ñ˜H15R,‰ñ˜H15T,‰ñ˜H16R,‰ñ˜H16T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
”N,ŒŽ,“ú,Žž,kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 1,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 2,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 3,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 5,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 6,   0.03,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 7,   0.85,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 8,   2.26,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1, 9,   5.66,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,10,   4.22,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,11,   3.48,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,12,   5.33,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,13,   6.51,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,14,   5.17,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,15,   4.52,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,16,   2.56,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,17,   1.49,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,18,   0.71,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,19,   0.04,   0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,20,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,21,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,22,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,23,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 1,24,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 1,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 2,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 5,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 6,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 7,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 8,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2, 9,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,10,   0.13,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,11,   0.47,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,12,   0.97,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,13,   0.89,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,14,   0.31,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,15,   0.14,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,16,   0.08,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,17,   0.11,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,18,   0.06,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,19,   0.00,   0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,20,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,21,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,22,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,23,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 2,24,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 1,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 2,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 4,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 5,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 6,   0.05,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 7,   0.76,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 8,   2.04,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3, 9,   1.54,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,10,   1.15,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,11,   1.39,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,12,   1.05,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,13,   1.93,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,14,   1.04,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,15,   1.50,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,16,   0.72,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,17,   0.18,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,18,   0.00,   0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,19,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,20,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,21,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,22,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,23,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 3,24,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 1,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 2,       ,       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 3,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 4,   0.01,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 5,   0.00,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, 8, 4, 6,   0.02,   0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
